,content,label
0,man wondering if there might be some sort of website featuring footage of sexual acts one may view for purposes of self gratification,1
1,white house official reportedly said mass shooting was reprieve from chaos,0
2,sarah palin calls obama lazy over approach to va scandal,0
3,eu court issues landmark data ruling,0
4,atlantic city casino can regulate waitresses weight ruling says,0
5,bed bug feels bad for area man but bug got to eat,1
6,new distressed jeans feature broken in cameltoe,1
7,coworkers unable to put finger on what weird about gary,1
8,report 97 of inner tube occupants agree it doesn get any better than this,1
9,car parked with windshield wipers halfway up offers glimpse of world suspended in time,1
10,stephen colbert it time for john kelly to spank the president,0
11,democrats play nice and normal with trump in nominee hearings,0
12,raytheon ceo sends obama another article about mounting unrest in libya,1
13,a lot of americans are thumbs down on roger goodell and tom brady,0
14,dianne feinstein wants nfl players accused of domestic violence to be benched,0
15,copy editor revenge takes form of unhyphenated word,1
16,the fastest shrinking cities in america,0
17,dermatologist recommends not caring so much what other people think,1
18,6 facts you didn know about trade and how they affect you,0
19,professor to part ways with college over comments about islam,0
20,wonder woman save us all,0
21,dolores huerta calls out trump for treating latinos like newcomers ,0
22,a new hbo documentary shows what it really like inside terror attack,0
23, ncis to cease print edition,1
24,paula abdul back at it,0
25,noisy upstairs neighbors wake man at 3 m ,1
26,my 8 favorite beauty products,0
27,3 things that young women need to remember about feminism,0
28, gone with the wind actress says turning 100 is her best role,0
29,audubon society reveal they ve only seen like 3 birds,1
30,grown man enjoys duping children,1
31,what happened when my daughter asked for bra,0
32,these 7 questions could determine whether your marriage will last or fail,0
33,congress repairs to parlor to hear rep carolyn maloney play the recorder,1
34,here who the obamas invited to the state of the union address,0
35,what pair of boots taught me about parenting and fads,0
36,this election decides our future for generation,0
37,powerball super fans camping out before the big drawing dressed up as their favorite numbers,1
38,environmental study finds air in chicago now 75 bullets,1
39,news of jenna elfman sitcom sends herd of buffalo into wild stampede,1
40,was ryan gosling first choice for people sexiest man alive ,0
41,dad asks famous people to tweet his bullied son happy birthday and they deliver,0
